A	‚™	‚˜	relative	coeff	instrument
205	659	680.111	1.73E+08	1.48555	5.0888
206	648	680.51	8.93E+07	2.87794	5.0855
207	599	679.985	1.07E+08	2.40187	5.03937
208	583	678.552	1.07E+08	2.40187	5.11103
209	568	678.39	8.72E+07	2.94725	5.09661
210	553	678.381	9.93E+07	2.58812	5.1391
211	538	678.127	1.20E+08	2.14167	4.67382
212	961	834.428	9.87E+07	2.60385	4.97225
213	462	677.336	1.39E+08	1.84892	4.83338
214	448	678.101	1.44E+08	1.78472	4.86393
215	432	678.553	1.13E+08	2.27434	4.93532
216	417	679.671	1.18E+08	2.17797	4.70039
217	387	679.082	1.65E+08	1.55758	4.7672
218	372	678.394	1.19E+08	2.15966	4.8246
219	356	677.568	1.35E+08	1.9037	4.89361
220	341	678.586	1.61E+08	1.59627	4.82665
221	326	679.602	9.50E+07	2.70526	4.78105
222	310	678.705	1.29E+08	1.99225	4.7905
223	296	679.42	1.06E+08	2.42453	4.72222
224	280	679.929	7.89E+07	3.25729	4.48381
225	250	679.073	1.13E+08	2.27434	4.61493
226	235	680.902	1.13E+08	2.27434	4.46238
227	205	680.665	1.19E+08	2.15966	4.52188
228	190	681.399	6.83E+07	3.76281	4.52032
229	174	681.112	5.40E+07	4.75926	4.50651
230	159	679.923	6.51E+07	3.94777	4.70356
231	143	681.954	6.34E+07	4.05363	4.39466
232	128	685.835	4.47E+07	5.74944	4.35226
233	113	682.085	3.55E+07	7.23944	4.38936
234	98	686.887	3.71E+07	6.92722	4.41136
235	82	684.343	5.45E+07	4.7156	4.38836
236	68	683.232	5.42E+07	4.7417	4.41559
237	52	683.82	3.03E+07	8.48185	4.32115
239	978	836.127	1.85E+08	1.38919	5.42633
240	949	835.782	9.50E+07	2.70526	4.90603
241	931	833.8	1.02E+08	2.51961	5.06822
242	916	833.912	1.45E+08	1.77241	5.40258
243	902	832.95	1.59E+08	1.61635	5.35987
244	870	832.155	1.36E+08	1.88971	5.187
245	857	833.484	1.87E+08	1.37433	5.24674
246	839	832.807	1.55E+08	1.65806	5.00813
247	827	832.491	2.57E+08	1	5.25497
248	811	830.157	2.25E+08	1.14222	5.21006
249	797	828.858	2.47E+08	1.04049	5.03026
250	766	828.761	2.00E+08	1.285	5.2917
251	751	828.332	2.25E+08	1.14222	5.2572
252	736	827.61	2.25E+08	1.14222	5.16665
253	722	828.629	1.81E+08	1.41989	4.88264
255	688	826.868	7.52E+07	3.41755	4.6994
256	675	825.739	1.19E+08	2.15966	4.75603
257	659	826.467	1.82E+08	1.41209	5.16238
258	645	825.942	2.33E+08	1.103	5.20988
259	629	825.798	2.17E+08	1.18433	5.16951
260	614	826.604	2.09E+08	1.22967	5.13972
261	600	824.946	2.00E+08	1.285	5.20788
262	584	826.175	2.57E+08	1	5.14523
263	570	825.887	2.04E+08	1.2598	5.06877
264	554	824.74	1.46E+08	1.76027	4.89015
265	509	824.702	1.32E+08	1.94697	4.75791
267	463	823.523	1.34E+08	1.91791	4.72239
268	886	833.289	1.68E+08	1.52976	5.10613
269	432	823.441	1.08E+08	2.37963	4.8782
270	418	822.304	8.64E+07	2.97454	4.78278
271	372	823.641	1.02E+08	2.51961	4.8527
272	357	824.738	9.65E+07	2.66321	5.05391
273	342	824.738	5.07E+07	5.06903	4.95305
274	326	824.494	6.08E+07	4.22697	5.17607
275	311	824.973	1.03E+08	2.49515	4.87526
276	296	825.131	5.72E+07	4.49301	5.26078
277	281	825.384	1.09E+08	2.3578	4.95965
278	266	826.081	9.77E+07	2.6305	4.82385
279	235	826.855	1.15E+08	2.23478	4.91469
280	220	826.522	1.22E+08	2.10656	4.90871
281	205	829.598	7.85E+07	3.27389	4.65959
283	143	830.607	4.45E+07	5.77528	4.69102
284	128	829.79	6.67E+07	3.85307	4.77955
285	114	831.656	4.00E+07	6.425	4.46952
286	82	832.128	5.60E+07	4.58929	4.47195
287	66	831.587	2.41E+07	10.6639	4.78385
288	52	831.128	3.05E+07	8.42623	4.56563
