CH	Y	X	relative	coeff	instrument
260	616	805.484	2.09E+08	1.22967	4.50806
261	601	804.931	2.00E+08	1.285	4.53829
262	586	805.022	2.57E+08	1	4.49271
263	572	804.713	2.04E+08	1.2598	4.38935
264	556	804.491	1.46E+08	1.76027	4.4738
265	510	804.17	1.32E+08	1.94697	4.24821
267	465	803.535	1.34E+08	1.91791	4.272
268	888	811.315	1.68E+08	1.52976	4.02386
269	434	803.09	1.08E+08	2.37963	4.42621
270	420	803.425	8.64E+07	2.97454	4.30694
271	373	803.431	1.02E+08	2.51961	4.38874
272	359	803.686	9.65E+07	2.66321	4.71785
273	344	803.914	5.07E+07	5.06903	4.94257
274	327	803.277	6.08E+07	4.22697	4.70185
275	313	803.066	1.03E+08	2.49515	4.36924
276	296	803.247	5.72E+07	4.49301	4.80903
277	282	803.576	1.09E+08	2.3578	4.52979
278	267	803.263	9.77E+07	2.6305	4.43701
279	236	803.858	1.15E+08	2.23478	4.44817
280	222	804.308	1.22E+08	2.10656	4.50883
281	207	804.726	7.85E+07	3.27389	4.46299
283	145	805.485	4.45E+07	5.77528	4.0861
284	129	805.435	6.67E+07	3.85307	4.50627
285	115	806.359	4.00E+07	6.425	4.33282
286	84	806.191	5.60E+07	4.58929	4.10036
287	67	806.951	2.41E+07	10.6639	4.61004
288	53	807.078	3.05E+07	8.42623	4.50816
