CH	Y	X	relative	coeff	instrument
259	632	781.101	7.69E+06	1.29129	4.36356
260	616	781.109	7.88E+06	1.26015	4.50806
261	602	780.842	7.91E+06	1.25537	4.53829
262	586	780.822	9.93E+06	1	4.49271
263	571	780.775	8.25E+06	1.20364	4.38935
264	556	780.459	6.01E+06	1.65225	4.4738
265	510	779.704	5.31E+06	1.87006	4.24821
267	465	778.844	5.79E+06	1.71503	4.272
268	887	787.188	6.28E+06	1.58121	4.02386
269	434	778.927	5.52E+06	1.79891	4.42621
270	419	779.343	4.53E+06	2.19205	4.30694
271	374	778.717	5.90E+06	1.68305	4.38874
272	359	778.852	6.50E+06	1.52769	4.71785
273	344	779.172	3.85E+06	2.57922	4.94257
274	328	779.037	3.63E+06	2.73554	4.70185
275	313	778.399	5.10E+06	1.94706	4.36924
276	298	779.022	3.24E+06	3.06481	4.80903
277	282	779.238	5.21E+06	1.90595	4.52979
278	267	778.803	4.50E+06	2.20667	4.43701
279	237	779.31	4.67E+06	2.12634	4.44817
280	222	779.859	4.87E+06	2.03901	4.50883
281	208	780.645	3.30E+06	3.00909	4.46299
283	145	781.01	1.78E+06	5.57865	4.0861
284	130	781.108	2.47E+06	4.02024	4.50627
285	115	781.965	1.60E+06	6.20625	4.33282
286	84	781.766	2.17E+06	4.57604	4.10036
287	68	781.802	1.09E+06	9.11009	4.61004
288	54	782.101	1.28E+06	7.75781	4.50816
