22	444	830.0047	0.0046817	4.716041	4.864699
23	421	827.5703	0.004681179	4.447767	4.953727
24	404	826.7307	0.004683715	4.283922	5.777305
25	376	826.3593	0.004684156	5.949957	4.961098
26	357	827.4596	0.004681015	6.57673	6.153605
27	338	826.6951	0.004681996	6.092888	4.816231
28	313	821.4865	0.004686832	6.730585	2.228125
29	291	821.3921	0.0046859	7.644789	6.394578
40	727	611.6537	0.004620792	5.389317	1.297348
41	700	615.0844	0.004617944	5.451856	1.846593
45	637	613.0897	0.004598285	5.240775	2.043927
46	615	611.8568	0.004606104	7.05051	7.520518
47	594	612.6091	0.004600646	7.573188	11.92233
48	572	613.2728	0.004602373	6.974105	9.535014
50	529	616.2041	0.004603235	8.864204	6.814049
53	464	609.8018	0.004604451	5.633806	2.280072
72	752	396.4247	0.004672658	7.030964	2.252016
74	711	397.4435	0.004660721	6.512628	1.372431
75	686	396.6998	0.004661537	6.502628	1.878275
76	661	395.6131	0.004635611	6.594338	1.350171
77	641	396.5344	0.004654289	5.790434	6.380958
78	615	396.8588	0.004654855	5.546628	5.725229
79	596	395.6959	0.0046423	4.64185	6.353543
80	574	396.2228	0.004649223	5.607985	12.60582
82	534	394.9847	0.004654917	5.086948	6.059644
83	510	396.3217	0.00465349	4.375583	2.784099
84	487	395.9625	0.004653603	4.519059	5.094594
85	469	396.3746	0.004652869	5.247927	4.971193
86	446	395.3401	0.004647779	5.556715	2.425057
87	423	395.3165	0.004659933	5.412167	2.410252
88	399	393.6257	0.004653947	5.375641	5.015607
90	358	391.7616	0.004660761	5.241121	3.300215
