21	441	829.398	0.004678295	7.936695	3.141591
22	418	830.0047	0.0046817	4.716041	4.864699
23	399	827.5703	0.004681179	4.447767	4.953727
24	377	826.7307	0.004683715	4.283922	5.777305
25	356	826.3593	0.004684156	5.949957	4.961098
26	337	827.4596	0.004681015	6.57673	6.153605
27	310	826.6951	0.004681996	6.092888	4.816231
28	292	821.4865	0.004686832	6.730585	2.228125
40	724	611.6537	0.004620792	5.389317	1.297348
41	706	615.0844	0.004617944	5.451856	1.846593
42	678	613.9256	0.004604137	4.914953	0.7296719
43	658	613.324	0.004607306	5.441241	1.414699
44	633	612.3961	0.004609579	4.696455	1.382608
45	613	613.0897	0.004598285	5.240775	2.043927
46	594	611.8568	0.004606104	7.05051	7.520518
52	463	610.8458	0.004604227	7.773149	7.955362
72	729	396.4247	0.004672658	7.030964	2.252016
73	710	396.5349	0.004639407	6.378903	1.14245
74  686	397.4435	0.004660721	6.512628	1.372431
75	659	396.6998	0.004661537	6.502628	1.878275
76	639	395.6131	0.004635611	6.594338	1.350171
77	617	396.5344	0.004654289	5.790434	6.380958
78	594	396.8588	0.004654855	5.546628	5.725229
79	573	395.6959	0.0046423	4.64185	6.353543
81	531	395.3631	0.004652959	5.157568	8.567194
82	508	394.9847	0.004654917	5.086948	6.059644
83	487	396.3217	0.00465349	4.375583	2.784099
84	467	395.9625	0.004653603	4.519059	5.094594
85	445	396.3746	0.004652869	5.247927	4.971193
86	425	395.3401	0.004647779	5.556715	2.425057
87	401	395.3165	0.004659933	5.412167	2.410252
88	380	393.6257	0.004653947	5.375641	5.015607
