CH,y,x,relative,sensitivity,instrument
154,533.000,582.906,3.78013e+07,2.09283,4.89309
155,518.000,582.379,4.01148e+07,1.97213,5.00793
156,503.000,582.653,3.56199e+07,2.22100,4.92789
157,487.000,582.390,3.43430e+07,2.30357,4.95883
158,472.000,583.099,3.24461e+07,2.43825,4.78811
159,457.000,582.510,3.01270e+07,2.62594,4.79493
160,442.000,581.961,3.34547e+07,2.36474,4.73420
161,427.000,582.889,1.81471e+07,4.35948,4.73728
162,411.000,582.981,2.28502e+07,3.46219,4.77300
163,396.000,582.308,1.96791e+07,4.02009,4.60263
164,364.000,582.261,1.76038e+07,4.49401,4.83669
165,350.000,582.622,3.37335e+07,2.34520,4.65001
166,335.000,583.019,3.03601e+07,2.60578,4.65470
167,320.000,582.992,2.43679e+07,3.24656,4.64275
168,303.000,584.045,2.43357e+07,3.25086,4.69126
169,290.000,583.441,2.97312e+07,2.66090,4.58756
171,274.000,583.281,1.82624e+07,4.33196,4.44820
172,258.000,584.273,1.49278e+07,5.29963,4.39871
174,245.000,585.486,5.46676e+06,14.4714,4.32190
177,151.000,586.125,9.01486e+06,8.77570,4.26593
178,135.000,586.026,2.00552e+07,3.94470,4.28643
179,120.000,586.725,1.92068e+07,4.11895,4.20751
180,106.000,587.043,2.06754e+07,3.82638,4.15939
181,90.0000,588.255,1.91390e+07,4.13353,4.29382
182,74.0000,588.610,2.76141e+07,2.86490,4.20841
183,59.0000,588.013,2.47349e+07,3.19838,4.29504
184,44.0000,588.836,2.47646e+07,3.19455,4.10130
185,1005.00,740.162,4.43421e+07,1.78412,5.29383
186,991.000,739.702,4.26378e+07,1.85544,5.19198
187,960.000,738.158,5.01261e+07,1.57825,5.18909
188,943.000,738.716,3.78957e+07,2.08762,5.52679
189,928.000,736.923,5.16274e+07,1.53236,5.20098
190,913.000,737.313,4.53126e+07,1.74591,5.33300
191,899.000,738.151,5.15055e+07,1.53599,5.33673
192,883.000,736.310,3.59048e+07,2.20338,5.02303
193,868.000,735.892,3.60437e+07,2.19488,5.03964
194,852.000,735.579,5.57771e+07,1.41835,5.37798
195,838.000,734.161,5.80427e+07,1.36299,5.28712
196,822.000,734.395,5.39644e+07,1.46600,5.26280
197,808.000,732.582,5.04797e+07,1.56720,5.15339
198,791.000,732.253,5.47839e+07,1.44407,5.26806
199,777.000,731.934,6.37994e+07,1.24001,5.13362
200,763.000,731.780,6.19826e+07,1.27635,5.12984
201,748.000,732.351,5.83717e+07,1.35531,4.95426
202,716.000,731.358,5.51054e+07,1.43565,5.01259
203,700.000,731.439,4.99872e+07,1.58264,5.18999
204,685.000,730.693,6.10128e+07,1.29664,5.15060
205,670.000,730.218,5.71935e+07,1.38323,5.08880
206,657.000,730.396,3.47443e+07,2.27697,5.08550
207,610.000,729.548,4.18424e+07,1.89071,5.03937
208,595.000,728.988,4.61235e+07,1.71522,5.11103
209,579.000,728.864,3.68645e+07,2.14601,5.09661
210,563.000,728.826,3.88966e+07,2.03390,5.13910
211,549.000,728.586,4.73969e+07,1.66913,4.67382
213,472.000,728.965,4.52797e+07,1.74718,4.83338
214,457.000,728.596,4.43460e+07,1.78397,4.86393
215,442.000,728.607,3.65410e+07,2.16502,4.93532
216,427.000,728.705,3.80798e+07,2.07753,4.70039
217,396.000,728.203,4.14311e+07,1.90948,4.76720
218,382.000,728.528,3.62013e+07,2.18533,4.82460
219,365.000,727.882,3.82130e+07,2.07028,4.89361
220,351.000,727.431,4.39058e+07,1.80185,4.82665
221,335.000,728.378,2.64947e+07,2.98595,4.78105
222,320.000,728.661,3.57185e+07,2.21487,4.79050
223,305.000,729.026,3.39002e+07,2.33366,4.72222
224,290.000,729.779,2.50752e+07,3.15497,4.48381
225,259.000,729.987,3.27418e+07,2.41623,4.61493
226,243.000,728.885,3.50430e+07,2.25756,4.46238
227,213.000,729.335,3.68548e+07,2.14658,4.52188
228,198.000,730.160,2.77206e+07,2.85390,4.52032
229,182.000,730.943,2.18828e+07,3.61524,4.50651
230,167.000,729.616,2.71623e+07,2.91256,4.70356
231,152.000,730.931,2.87537e+07,2.75136,4.39466
232,136.000,732.184,2.37891e+07,3.32554,4.35226
233,120.000,733.074,1.96398e+07,4.02813,4.38936
234,105.000,733.335,2.44760e+07,3.23222,4.41136
235,75.0000,733.782,2.06803e+07,3.82546,4.38836
236,60.0000,735.023,2.22582e+07,3.55427,4.41559
237,45.0000,734.622,1.65168e+07,4.78978,4.32115
239,991.000,886.153,7.05258e+07,1.12174,5.42633
240,964.000,886.370,3.93239e+07,2.01180,4.90603
241,929.000,884.055,4.42727e+07,1.78692,5.06822
242,929.000,884.055,6.63247e+07,1.19279,5.40258
243,913.000,883.756,6.03495e+07,1.31089,5.35987
245,869.000,881.470,7.01411e+07,1.12790,5.24674
246,852.000,881.093,6.06108e+07,1.30524,5.00813
247,838.000,880.826,7.91118e+07,1.00000,5.25497
248,823.000,879.771,7.29144e+07,1.08499,5.21006
249,809.000,879.887,7.71331e+07,1.02565,5.03026
250,777.000,878.063,5.87910e+07,1.34564,5.29170
251,762.000,876.939,6.66302e+07,1.18733,5.25720
252,746.000,877.588,5.86015e+07,1.34999,5.16665
253,734.000,877.019,5.30071e+07,1.49247,4.88264
255,697.000,875.972,2.32556e+07,3.40184,4.69940
256,686.000,875.591,2.65972e+07,2.97444,4.75603
257,670.000,875.502,6.94518e+07,1.13909,5.16238
258,656.000,874.321,6.02394e+07,1.31329,5.20988
259,640.000,874.484,4.38313e+07,1.80491,5.16951
260,626.000,874.216,3.84045e+07,2.05996,5.13972
261,610.000,874.728,2.91524e+07,2.71373,5.20788
262,594.000,874.195,5.05629e+07,1.56462,5.14523
263,580.000,873.294,5.31480e+07,1.48852,5.06877
264,565.000,873.441,5.46756e+07,1.44693,4.89015
265,519.000,874.358,5.11348e+07,1.54712,4.75791
267,473.000,873.543,4.27422e+07,1.85091,4.72239
268,899.000,883.151,4.26219e+07,1.85613,5.10613
269,442.000,873.609,4.38139e+07,1.80563,4.87820
270,427.000,874.657,4.30366e+07,1.83824,4.78278
271,381.000,873.478,4.89954e+07,1.61468,4.85270
272,367.000,874.494,4.98746e+07,1.58621,5.05391
273,351.000,874.303,3.08529e+07,2.56416,4.95305
274,335.000,875.279,3.55673e+07,2.22428,5.17607
275,320.000,874.578,4.25345e+07,1.85994,4.87526
276,305.000,875.222,2.58410e+07,3.06149,5.26078
277,289.000,876.139,4.11313e+07,1.92339,4.95965
278,274.000,874.908,3.46001e+07,2.28646,4.82385
279,242.000,874.923,3.54318e+07,2.23279,4.91469
280,228.000,875.732,3.61801e+07,2.18661,4.90871
281,214.000,876.055,2.56571e+07,3.08343,4.65959
283,150.000,876.359,1.61328e+07,4.90377,4.69102
284,136.000,876.664,2.06070e+07,3.83907,4.77955
285,122.000,878.103,1.40548e+07,5.62882,4.46952
286,90.0000,878.456,1.89759e+07,4.16906,4.47195
287,76.0000,879.980,1.16293e+07,6.80278,4.78385
288,58.0000,880.431,7.38221e+06,10.7165,4.56563
