CH,y,x,relative,sensitivity,instrument
3,957.000,239.986,5.60646e+06,2.91613,6.14879
4,942.000,240.492,7.25345e+06,2.25398,5.85632
6,911.000,238.935,7.93619e+06,2.06008,5.94692
7,896.000,238.606,9.97407e+06,1.63917,5.93132
8,881.000,237.601,9.25466e+06,1.76659,5.91596
9,866.000,236.119,1.05158e+07,1.55472,5.88023
10,850.000,236.719,9.97701e+06,1.63868,5.80617
11,835.000,236.108,9.39084e+06,1.74097,5.73583
12,820.000,235.716,8.82708e+06,1.85216,5.75158
13,804.000,234.712,8.62826e+06,1.89484,5.65107
14,790.000,234.299,1.10056e+07,1.48553,5.63846
15,775.000,233.779,1.07294e+07,1.52377,5.58240
16,760.000,233.837,8.58602e+06,1.90416,5.64839
17,744.000,232.964,8.69284e+06,1.88076,5.53439
18,729.000,232.928,9.30580e+06,1.75688,5.54438
19,714.000,233.185,9.49195e+06,1.72242,5.30959
20,698.000,233.390,7.52373e+06,2.17301,5.63679
21,684.000,232.125,1.00855e+07,1.62105,5.30922
22,668.000,230.996,1.14577e+07,1.42691,5.37509
23,653.000,231.713,1.17071e+07,1.39651,5.22115
24,639.000,231.136,1.24725e+07,1.31082,5.19126
25,623.000,231.930,1.20202e+07,1.36014,5.09098
26,608.000,231.275,1.04761e+07,1.56062,5.15096
27,593.000,231.169,1.24134e+07,1.31706,5.01221
28,578.000,231.135,1.17521e+07,1.39117,4.97008
29,565.000,230.938,8.24358e+06,1.98326,5.17930
30,547.000,229.561,7.96596e+06,2.05238,4.94521
31,532.000,229.795,6.74100e+06,2.42533,4.84717
32,517.000,230.024,3.86850e+06,4.22623,5.03375
34,487.000,228.884,5.43332e+06,3.00905,4.84126
35,471.000,229.158,6.88660e+06,2.37406,4.80653
36,456.000,229.293,6.27251e+06,2.60648,4.83468
38,426.000,228.912,7.25939e+06,2.25214,4.71658
39,411.000,228.916,8.75739e+06,1.86690,4.82810
40,396.000,229.229,8.60123e+06,1.90079,4.76534
41,381.000,228.884,7.59552e+06,2.15247,4.71486
42,365.000,228.492,8.94117e+06,1.82853,4.73046
43,350.000,228.354,9.01502e+06,1.81355,4.56551
45,319.000,229.079,8.07696e+06,2.02417,4.50669
46,304.000,228.739,8.37467e+06,1.95222,4.65229
47,289.000,229.739,7.14272e+06,2.28893,4.64513
50,242.000,230.249,4.87717e+06,3.35218,4.74328
51,227.000,230.180,8.50486e+06,1.92233,4.54278
52,213.000,230.356,8.14919e+06,2.00623,4.62682
53,197.000,230.901,6.90440e+06,2.36793,4.59914
54,182.000,231.404,9.42407e+06,1.73483,4.63171
55,167.000,231.179,1.12170e+07,1.45754,4.50973
56,136.000,230.683,9.41170e+06,1.73711,4.46034
58,105.000,232.105,6.75147e+06,2.42157,4.44300
60,90.0000,232.528,5.15249e+06,3.17306,4.45022
61,75.0000,232.852,6.15570e+06,2.65594,4.31048
62,60.0000,233.294,4.58804e+06,3.56343,4.43289
66,972.000,385.324,4.30318e+06,3.79932,5.83786
67,958.000,384.995,5.47268e+06,2.98742,5.74145
68,944.000,385.506,4.89742e+06,3.33833,5.63098
69,912.000,382.955,6.77230e+06,2.41412,5.56280
70,897.000,382.784,6.41297e+06,2.54939,5.83993
71,882.000,381.636,7.71338e+06,2.11958,5.54096
72,867.000,381.507,6.06878e+06,2.69398,5.70357
73,851.000,381.506,8.02063e+06,2.03839,5.55709
74,836.000,380.821,7.93226e+06,2.06110,5.50937
75,820.000,381.115,7.62094e+06,2.14529,5.48815
76,806.000,379.789,7.80066e+06,2.09587,5.47738
77,790.000,379.238,7.64745e+06,2.13786,5.40852
78,778.000,379.088,5.19771e+06,3.14546,5.44065
79,761.000,377.956,4.01821e+06,4.06877,5.11043
80,745.000,377.986,5.48794e+06,2.97911,5.45116
81,729.000,377.223,7.16736e+06,2.28106,5.25891
82,716.000,377.065,7.20182e+06,2.27014,5.20761
83,700.000,376.334,4.71482e+06,3.46761,5.45701
84,684.000,376.136,7.72211e+06,2.11719,5.18853
85,669.000,376.612,9.63034e+06,1.69767,5.15651
86,654.000,376.450,9.30290e+06,1.75743,5.17165
87,639.000,376.269,9.65447e+06,1.69343,5.07572
88,625.000,376.150,7.44586e+06,2.19574,5.30726
89,608.000,375.532,8.98754e+06,1.81909,4.92123
90,594.000,376.228,7.39129e+06,2.21195,5.05156
91,578.000,375.753,4.92891e+06,3.31699,5.19549
92,563.000,374.485,9.16503e+06,1.78386,4.81103
93,548.000,374.773,7.77069e+06,2.10395,4.89251
94,533.000,373.510,7.67690e+06,2.12966,4.94552
95,517.000,374.578,4.32132e+06,3.78337,5.05725
96,502.000,373.686,3.43701e+06,4.75680,4.60005
98,472.000,374.467,5.29649e+06,3.08679,4.70201
99,456.000,373.907,5.12357e+06,3.19097,4.77759
100,441.000,373.808,6.75149e+06,2.42156,4.83160
101,426.000,373.544,6.00028e+06,2.72473,4.71772
102,411.000,373.933,5.66282e+06,2.88711,4.70713
103,380.000,375.027,5.41105e+06,3.02144,4.71369
104,365.000,374.965,6.88394e+06,2.37497,4.55304
105,350.000,373.738,7.40419e+06,2.20810,4.56101
106,335.000,374.385,7.06340e+06,2.31463,4.79486
107,320.000,375.266,8.28200e+06,1.97406,4.64756
108,304.000,374.912,6.00754e+06,2.72144,4.59109
109,289.000,374.986,8.50941e+06,1.92130,4.61067
110,274.000,375.144,6.69531e+06,2.44188,4.61821
111,259.000,375.537,5.45751e+06,2.99572,4.66781
112,244.000,375.054,5.30631e+06,3.08108,4.45748
113,228.000,376.769,5.38047e+06,3.03861,4.48257
114,197.000,376.509,6.09173e+06,2.68383,4.55466
115,182.000,376.928,6.15095e+06,2.65799,4.42001
116,167.000,377.417,4.24308e+06,3.85314,4.34487
117,151.000,376.362,4.18689e+06,3.90485,4.54278
118,136.000,377.597,5.03201e+06,3.24903,4.39716
120,106.000,378.504,3.56091e+06,4.59129,4.19699
121,91.0000,377.882,3.08048e+06,5.30733,4.28086
122,75.0000,378.735,3.62677e+06,4.50791,4.25032
123,60.0000,379.782,3.46716e+06,4.71544,4.16363
