CH	y	x	relative	sensitivity	instrument
249	815.000	777.702	7.71331e+07	1.02565	4.17000
250	770.000	776.554	5.87910e+07	1.34564	4.33000
251	756.000	776.446	6.66302e+07	1.18733	4.46000
252	741.000	776.110	5.86015e+07	1.34999	4.43000
253	729.000	776.221	5.30071e+07	1.49247	4.36000
255	694.000	775.095	2.32556e+07	3.40184	4.45000
256	682.000	772.629	2.65972e+07	2.97444	3.63000
257	666.000	774.500	3.76515e+06	21.0116	4.45000
258	650.000	774.494	5.76453e+06	13.7239	4.37000
259	633.000	773.774	5.81291e+06	13.6097	4.36000
260	621.000	773.770	7.31006e+06	10.8223	4.51000
261	604.000	773.237	2.91524e+07	2.71373	4.54000
262	590.000	773.414	5.05629e+07	1.56462	4.49000
263	576.000	773.390	5.31480e+07	1.48852	4.39000
264	562.000	772.858	5.46756e+07	1.44693	4.47000
265	514.000	772.813	5.11348e+07	1.54712	4.25000
267	468.000	772.534	4.27422e+07	1.85091	4.27000
268	894.000	780.724	4.26219e+07	1.85613	4.02000
269	438.000	772.229	4.38139e+07	1.80563	4.43000
270	423.000	772.445	4.30366e+07	1.83824	4.31000
271	376.000	772.083	4.89954e+07	1.61468	4.39000
272	361.000	772.434	4.98746e+07	1.58621	4.72000
273	347.000	772.422	3.08529e+07	2.56416	4.94000
274	331.000	772.313	3.55673e+07	2.22428	4.70000
275	315.000	771.957	4.25345e+07	1.85994	4.37000
276	298.000	772.285	2.58410e+07	3.06149	4.81000
277	284.000	772.253	4.11313e+07	1.92339	4.53000
278	270.000	771.588	3.46001e+07	2.28646	4.44000
279	238.000	771.850	3.54318e+07	2.23279	4.45000
280	224.000	772.345	3.61801e+07	2.18661	4.51000
281	209.000	772.696	2.56571e+07	3.08343	4.46000
283	146.000	773.262	1.61328e+07	4.90377	4.09000
284	131.000	772.927	2.06070e+07	3.83907	4.51000
285	116.000	773.880	1.40548e+07	5.62882	4.33000
286	85.0000	774.247	1.89759e+07	4.16906	4.10000
287	69.0000	774.684	1.16293e+07	6.80278	4.61000
288	55.0000	774.534	7.38221e+06	10.7165	4.51000
