time(us),ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24
0.0,-0.0013875000000000003,-0.00041250000000000005,-0.0034187500000000003,-0.0023875000000000003,-0.0013375000000000001,-0.00163125,-0.0025562500000000004,-0.002425,-0.003987500000000001,-0.0010125,-0.0008625000000000001,-0.0005437500000000001,-0.00080625,-0.00150625,-0.00215625,-0.00178125,-0.00068125,-0.00128125,0.0007937500000000001,0.0034125,0.00430625,0.00014375000000000002,0.00323125,0.0015875000000000002
0.1,0.0003125,8.750000000000001e-05,0.0009812500000000001,-0.00028750000000000005,0.0006625000000000001,0.00146875,0.00074375,0.00017500000000000003,0.0011125,0.0001875,-0.0014625,-0.00104375,-0.00100625,-0.00060625,-0.00085625,-0.00108125,0.0016187500000000002,0.0010187500000000001,0.00099375,0.0009125000000000001,-0.0007937500000000001,0.00184375,-0.00156875,0.0006875
0.2,0.0014125000000000001,0.0021875,-0.00041875,0.0013125,-0.0001375,0.0018687500000000002,0.0031437500000000003,0.0021750000000000003,0.0005125,0.0012875,0.0027375000000000003,0.00365625,0.00149375,0.00209375,0.00334375,0.0029187500000000003,-0.00028125,0.00041875,-0.0023062499999999997,-0.0020875,-0.00049375,-0.0035562500000000004,-0.0008687500000000001,-0.00021250000000000002
0.30000000000000004,0.0001125,-0.0010125,0.00028125,-0.0016875,-3.7500000000000003e-05,-0.00133125,-0.0013562500000000003,-0.00042500000000000003,0.0005125,0.0007875000000000001,-0.0009625,-0.00244375,0.00039375000000000006,-0.0022062500000000003,0.00164375,-0.00158125,-0.00158125,0.00141875,0.00089375,-0.0006875,-0.00029375,0.00074375,-0.00056875,-0.0020125
0.4,-0.0016875,-0.0013125,-0.0016187500000000002,-0.0018875,-0.0022375000000000003,6.875e-05,-0.00195625,-0.0013250000000000002,-0.0022875,-0.0013125,-0.0008625000000000001,-0.00114375,-0.00150625,-0.00110625,-0.00225625,-0.0030812500000000002,0.00031875,-0.0008812500000000001,0.00109375,0.0042125,0.00360625,0.00064375,0.0017312500000000001,0.0028875000000000003
0.5,0.0014125000000000001,0.0003875,0.00108125,0.0020125,0.0029625000000000003,-0.00013125000000000002,0.00204375,0.001275,0.0009125000000000001,0.0013875000000000003,0.0010375,0.00125625,0.00059375,0.00099375,0.00124375,0.0008187500000000001,0.0008187500000000001,0.0009187500000000001,0.00019375,0.0001125,-0.0007937500000000001,0.00074375,-0.00076875,0.00048750000000000003
0.6000000000000001,0.00041250000000000005,0.0016875,0.00048125,0.0009125000000000001,-0.0015375,0.0023687499999999998,0.00134375,0.0014750000000000002,0.0017125,0.0001875,0.0021375,0.0013562500000000003,0.0012937500000000002,0.00049375,0.0031437500000000003,0.0016187500000000002,-0.00028125,0.00071875,-0.0018062500000000001,-0.0015875000000000002,-0.0017937500000000002,-0.00195625,-0.0018687500000000002,-0.0010125
0.7000000000000001,-0.0001875,-0.0008125,-1.8750000000000002e-05,-0.0017875,0.0009625,-0.00133125,-0.00145625,-0.0012250000000000002,0.0003125,0.00028750000000000005,-6.25e-05,-0.0021437500000000003,-6.25e-06,-0.00110625,-0.00045625000000000006,-0.00138125,-0.00108125,0.00031875,9.375e-05,1.25e-05,0.00090625,0.0005437500000000001,0.0008312500000000001,-0.0012125
0.8,-0.0006875,-0.0001125,-0.00041875,1.25e-05,-0.0013375000000000001,-3.125e-05,-0.00015625,-0.0012250000000000002,0.00021250000000000002,-0.0015125000000000002,-6.25e-05,-0.00024375000000000002,-0.00110625,-0.00020625000000000003,-0.00195625,-0.0019812500000000004,0.00051875,-0.00018125000000000001,0.00209375,0.0033125,0.00100625,0.00104375,0.0012312500000000001,0.0021875
0.9,0.0008125,0.0005875,0.0016812500000000002,0.00041250000000000005,0.0028625000000000005,0.0006687500000000001,0.00184375,0.001075,0.0012125,0.0011875,0.00023750000000000003,0.00085625,0.00089375,0.00029375,0.0015437500000000002,0.0011187500000000002,0.00141875,0.00061875,-0.00020625000000000003,-0.0006875,-0.0006937500000000001,0.00014375000000000002,-0.00016875,-0.0008125
