1,,3.4,0,
2,2029,3,0,
3,2030,3.4,0,
4,2031,0,39,
5,2033,3.4,39,
6,2035,3,39,
7,2036,3.4,0,
8,2037,3,0,
9,2038,3,39,0
10,2039,3,0,0
,,,,
11,2040,3,39,135
12,2041,3,39,135
13,2042,3,39,135
14,2043,3,39,135
15,2044,3,39,135
16,2048,3,39,135
17,2049,3,39,135
18,2050,3,39,135
19,2051,3,39,135
20,2052,3,39,135
21,2053,3,39,135
22,2054,3,39,135
23,2055,3,39,135
24,2056,3.4,39,
25,2057,3.4,39,
26,2058,3.4,39,
27,2059,3.4,39,
28,2060,3.4,39,
29,2061,3.4,39,
30,2062,3.4,39,
31,2063,3.4,39,
,2064,3.4,39,
32,2065,2.5,0,
33,2066,2.5,39,135
34,2067,2.5,39,135
35,2068,2.5,39,135
36,2069,2.5,39,135
37,2070,2.5,39,135
38,2071,2.5,39,135
39,2072,2.5,39,135
40,2073,2.5,39,135
41,2074,2.5,39,135
42,2075,2.5,39,135
43,2076,2.5,39,135
44,2077,2,0,0
45,2078,2,39,135
46,2079,2,39,135
47,2080,2,39,135
48,2081,2,39,135
,,,,
49,2082,3.4,30,135
50,2083,3.4,32,135
51,2084,3.4,32,135
52,2085,3.4,32,135
53,2086,3.4,32,135
54,2087,3.4,32,135
55,2088,3,32,135
56,2089,3,32,135
57,2090,3,32,135
58,2091,3,32,135
59,2092,3,32,135
60,2093,3,32,135
61,2094,3,32,135
62,2095,3,32,135
63,2096,3.4,35,135
64,2097,3.4,35,135
65,2098,3.4,35,135
66,2099,3.4,35,135
67,2100,3,35,135
68,2101,3,35,135
69,2102,3,35,135
70,2103,3,35,135
71,2104,3,35,135
72,2105,3.4,35,0
73,2106,3,35,0
74,2107,3.4,32,0
75,2108,3,32,0
