time(us),ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24
0.0,-0.12625,-0.039925,-0.056625,-0.08586250000000001,-0.147475,-0.11897500000000001,-0.067,-0.09380000000000001,-0.08585000000000001,-0.1057,-0.12508750000000002,-0.0728125,-0.19278750000000003,-0.1292375,-0.095975,-0.106625,-0.085575,-0.15158750000000001,-0.18282500000000002,-0.10236250000000001,-0.147675,-0.13647499999999999,-0.126025,-0.40927500000000006
0.1,-0.12465000000000001,-0.039725,-0.054225,-0.0838625,-0.146075,-0.11357500000000001,-0.0658,-0.09,-0.08885000000000001,-0.10490000000000001,-0.12428750000000001,-0.0706125,-0.1919875,-0.1278375,-0.09377500000000001,-0.106425,-0.084575,-0.1503875,-0.181425,-0.1039625,-0.150275,-0.13747499999999999,-0.12982500000000002,-0.40927500000000006
0.2,-0.12465000000000001,-0.040125,-0.056625,-0.0846625,-0.14627500000000002,-0.116375,-0.0664,-0.09,-0.08725,-0.10410000000000001,-0.1240875,-0.07121250000000001,-0.1905875,-0.1254375,-0.09077500000000001,-0.10722500000000001,-0.08817500000000002,-0.1543875,-0.184025,-0.1041625,-0.149475,-0.13707500000000003,-0.128225,-0.40927500000000006
0.30000000000000004,-0.12525,-0.039125,-0.055625,-0.08486250000000001,-0.145475,-0.116575,-0.0666,-0.0902,-0.08445,-0.1035,-0.1238875,-0.0710125,-0.1911875,-0.1302375,-0.092175,-0.108825,-0.088575,-0.1553875,-0.183625,-0.1025625,-0.147675,-0.134875,-0.129225,-0.40927500000000006
0.4,-0.12665,-0.040525000000000005,-0.055425,-0.0852625,-0.147475,-0.117375,-0.0668,-0.0908,-0.08825,-0.1055,-0.1254875,-0.0708125,-0.1935875,-0.1302375,-0.09177500000000001,-0.106825,-0.084575,-0.1529875,-0.181625,-0.1027625,-0.147675,-0.13707500000000003,-0.128625,-0.40927500000000006
0.5,-0.12485,-0.039525000000000005,-0.056225000000000004,-0.0846625,-0.147675,-0.11597500000000001,-0.0648,-0.0892,-0.08705000000000002,-0.1053,-0.1240875,-0.06921250000000001,-0.19078750000000003,-0.12963750000000002,-0.092375,-0.105625,-0.08517500000000001,-0.1529875,-0.183425,-0.1045625,-0.148475,-0.140275,-0.128425,-0.40927500000000006
0.6000000000000001,-0.12545,-0.039325000000000006,-0.056625,-0.0870625,-0.148675,-0.115575,-0.0666,-0.09,-0.08725,-0.10510000000000001,-0.1254875,-0.0726125,-0.1901875,-0.1284375,-0.091175,-0.106825,-0.084575,-0.1541875,-0.183025,-0.1041625,-0.14927500000000002,-0.137275,-0.126625,-0.40927500000000006
0.7000000000000001,-0.12545,-0.039925,-0.055625,-0.0856625,-0.147075,-0.11697500000000001,-0.068,-0.09060000000000001,-0.08565,-0.1039,-0.1252875,-0.0700125,-0.19278750000000003,-0.1298375,-0.09317500000000001,-0.106625,-0.08517500000000001,-0.1529875,-0.182625,-0.10576250000000001,-0.146875,-0.137875,-0.130225,-0.40927500000000006
0.8,-0.12585000000000002,-0.038725,-0.056425,-0.0838625,-0.143475,-0.11597500000000001,-0.06620000000000001,-0.0898,-0.08525,-0.1035,-0.12448750000000001,-0.0706125,-0.19038750000000002,-0.12963750000000002,-0.092575,-0.105625,-0.087375,-0.15158750000000001,-0.184425,-0.10436250000000001,-0.14927500000000002,-0.13767500000000002,-0.127225,-0.40927500000000006
0.9,-0.12565,-0.040725000000000004,-0.056025000000000005,-0.0842625,-0.146675,-0.11897500000000001,-0.0678,-0.0908,-0.08725,-0.10490000000000001,-0.1254875,-0.07201250000000001,-0.19178750000000003,-0.1274375,-0.094375,-0.106825,-0.085775,-0.15358750000000002,-0.18322500000000003,-0.10296250000000001,-0.149475,-0.13767500000000002,-0.126825,-0.40927500000000006
