time(us),ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24
0.0,-0.12891249999999999,-0.03780000000000001,-0.057800000000000004,-0.088025,-0.1486875,-0.12001250000000001,-0.06741250000000001,-0.09465000000000001,-0.08445,-0.10552500000000001,-0.12511250000000002,-0.0740875,-0.19763750000000002,-0.129625,-0.09795000000000001,-0.1114375,-0.0848125,-0.1558125,-0.18472500000000003,-0.0995625,-0.14563750000000003,-0.13525,-0.1264875,-0.4096
0.1,-0.1283125,-0.036800000000000006,-0.056400000000000006,-0.086025,-0.1480875,-0.1180125,-0.0668125,-0.09205,-0.08385000000000001,-0.10492500000000002,-0.1247125,-0.0698875,-0.1972375,-0.131025,-0.09475,-0.1106375,-0.0838125,-0.15301250000000002,-0.18572500000000003,-0.10196250000000001,-0.1498375,-0.13885,-0.12788750000000002,-0.4096
0.2,-0.12811250000000002,-0.036800000000000006,-0.056600000000000004,-0.085825,-0.1492875,-0.12101250000000001,-0.06641250000000001,-0.09285,-0.08205000000000001,-0.104525,-0.1225125,-0.0720875,-0.1962375,-0.129025,-0.09435,-0.1086375,-0.0868125,-0.1552125,-0.18732500000000002,-0.1017625,-0.1480375,-0.13805,-0.1270875,-0.4096
0.30000000000000004,-0.1265125,-0.0362,-0.057800000000000004,-0.084625,-0.1480875,-0.1178125,-0.0680125,-0.09385,-0.08225,-0.10392500000000002,-0.1233125,-0.0724875,-0.1952375,-0.12982500000000002,-0.09515000000000001,-0.10923750000000002,-0.0884125,-0.1572125,-0.18632500000000002,-0.1007625,-0.1490375,-0.13825,-0.1284875,-0.4096
0.4,-0.1283125,-0.040600000000000004,-0.0592,-0.08722500000000001,-0.1482875,-0.1202125,-0.06821250000000001,-0.09405000000000001,-0.08445,-0.105325,-0.1243125,-0.0708875,-0.1978375,-0.130425,-0.09615,-0.11003750000000001,-0.0864125,-0.15501250000000003,-0.185125,-0.0995625,-0.14723750000000002,-0.13705,-0.12688750000000001,-0.4096
0.5,-0.1265125,-0.04,-0.057800000000000004,-0.08622500000000001,-0.14848750000000002,-0.1188125,-0.06621250000000001,-0.09245,-0.08285000000000001,-0.104325,-0.1237125,-0.0706875,-0.19603750000000003,-0.13182500000000003,-0.09715,-0.1104375,-0.08461250000000001,-0.15401250000000002,-0.185925,-0.10196250000000001,-0.1490375,-0.13665,-0.1306875,-0.4096
0.6000000000000001,-0.12951250000000003,-0.0388,-0.05740000000000001,-0.08642500000000002,-0.1486875,-0.1178125,-0.0648125,-0.09245,-0.08365,-0.104125,-0.1247125,-0.0696875,-0.19603750000000003,-0.13082500000000002,-0.09575,-0.1108375,-0.08521250000000001,-0.1564125,-0.18732500000000002,-0.1005625,-0.1474375,-0.13685,-0.1258875,-0.4096
0.7000000000000001,-0.12911250000000002,-0.038,-0.0572,-0.084625,-0.1472875,-0.1170125,-0.06641250000000001,-0.09205,-0.08505000000000001,-0.105925,-0.1255125,-0.07108750000000001,-0.1958375,-0.131625,-0.09735,-0.1088375,-0.08461250000000001,-0.1548125,-0.185925,-0.1011625,-0.1494375,-0.13745000000000002,-0.1296875,-0.4096
0.8,-0.12711250000000002,-0.038,-0.059800000000000006,-0.087025,-0.1492875,-0.1208125,-0.0660125,-0.09265000000000001,-0.08245000000000001,-0.104325,-0.12391250000000001,-0.0724875,-0.1954375,-0.129625,-0.09535,-0.10803750000000001,-0.0854125,-0.1564125,-0.18672500000000003,-0.1015625,-0.1486375,-0.13625,-0.1270875,-0.4096
0.9,-0.12811250000000002,-0.04,-0.057800000000000004,-0.087825,-0.1476875,-0.1198125,-0.06761249999999999,-0.09385,-0.08225,-0.10472500000000001,-0.1237125,-0.0724875,-0.19703750000000003,-0.132025,-0.09655000000000001,-0.1104375,-0.08661250000000001,-0.1574125,-0.18772500000000003,-0.10096250000000001,-0.1500375,-0.13565,-0.1270875,-0.4096
1.0,-0.1297125,-0.0388,-0.0562,-0.08542500000000001,-0.1486875,-0.11861250000000001,-0.06761249999999999,-0.09365000000000001,-0.08425,-0.10572500000000001,-0.1259125,-0.0708875,-0.19803750000000003,-0.130625,-0.09775,-0.1094375,-0.08441250000000002,-0.1546125,-0.18532500000000002,-0.10336250000000001,-0.1476375,-0.13665,-0.1284875,-0.4096
1.1,-0.1277125,-0.0366,-0.0572,-0.086025,-0.1462875,-0.11821250000000001,-0.06561249999999999,-0.09165000000000001,-0.08345,-0.106125,-0.12411250000000001,-0.0708875,-0.1972375,-0.129225,-0.09395,-0.1094375,-0.0848125,-0.1534125,-0.18772500000000003,-0.10236250000000001,-0.1488375,-0.13745000000000002,-0.1292875,-0.4096
1.2000000000000002,-0.1279125,-0.038400000000000004,-0.0582,-0.087825,-0.1468875,-0.11861250000000001,-0.06661249999999999,-0.09385,-0.08305000000000001,-0.10552500000000001,-0.12191250000000001,-0.0726875,-0.1964375,-0.130425,-0.09395,-0.1098375,-0.0870125,-0.1562125,-0.186125,-0.1015625,-0.14823750000000002,-0.13665,-0.1282875,-0.4096
1.3,-0.1287125,-0.0398,-0.05840000000000001,-0.087625,-0.1466875,-0.1208125,-0.0680125,-0.09225,-0.08285000000000001,-0.10472500000000001,-0.12511250000000002,-0.0722875,-0.1968375,-0.13122499999999998,-0.09675,-0.1116375,-0.0864125,-0.1542125,-0.18732500000000002,-0.1011625,-0.1460375,-0.13625,-0.12688750000000001,-0.4096
1.4000000000000001,-0.1279125,-0.039,-0.056,-0.08522500000000001,-0.1470875,-0.1188125,-0.0670125,-0.09105,-0.08405000000000001,-0.103525,-0.1235125,-0.0706875,-0.1974375,-0.129225,-0.09675,-0.10923750000000002,-0.08441250000000002,-0.1528125,-0.18632500000000002,-0.10096250000000001,-0.1474375,-0.13845000000000002,-0.1294875,-0.4096
1.5,-0.1269125,-0.037,-0.0572,-0.08522500000000001,-0.1476875,-0.1184125,-0.06741250000000001,-0.09305000000000001,-0.08245000000000001,-0.103525,-0.1227125,-0.0716875,-0.1974375,-0.130625,-0.09475,-0.10923750000000002,-0.0860125,-0.15601250000000003,-0.187125,-0.1011625,-0.1498375,-0.13805,-0.12688750000000001,-0.4096
1.6,-0.12611250000000002,-0.0376,-0.057,-0.085825,-0.1488875,-0.1184125,-0.0668125,-0.09365000000000001,-0.08125,-0.103125,-0.12311250000000001,-0.0722875,-0.1968375,-0.130625,-0.09415000000000001,-0.10923750000000002,-0.08661250000000001,-0.1564125,-0.187525,-0.1011625,-0.1484375,-0.13825,-0.1292875,-0.4096
