CH	Y	X			
136	806	531.588	3.03E+07	2.68317	4.361
137	790	531.247	3.60E+07	2.25833	4.05398
138	776	530.696	2.89E+07	2.81315	4.40522
139	760	529.817	3.50E+07	2.32286	4.14889
140	745	529.548	3.98E+07	2.04271	4.15274
141	730	529.199	3.47E+07	2.34294	4.32836
142	715	528.776	3.25E+07	2.50154	4.05619
143	700	528.515	3.06E+07	2.65686	4.04502
144	684	528.618	2.97E+07	2.73737	4.11099
145	670	528.245	3.36E+07	2.41964	4.20898
146	654	527.274	3.94E+07	2.06345	4.18276
147	640	527.835	4.18E+07	1.94498	4.07311
148	625	527.162	4.36E+07	1.86468	3.86041
149	594	526.816	3.72E+07	2.18548	3.95243
150	579	526.322	3.59E+07	2.26462	4.14002
151	563	525.998	4.82E+07	1.68672	3.90746
152	549	526.025	4.46E+07	1.82287	3.94537
153	533	526.186	3.66E+07	2.22131	3.88896
154	518	526.275	3.49E+07	2.32951	3.89783
155	503	525.895	3.56E+07	2.28371	3.92511
156	488	526.114	3.18E+07	2.5566	3.82702
157	473	526.069	3.05E+07	2.66557	3.85139
158	458	526.129	2.83E+07	2.87279	3.82215
159	443	526.449	2.55E+07	3.18824	3.74313
160	428	525.967	3.03E+07	2.68317	3.59852
161	413	525.365	1.83E+07	4.44262	3.78224
162	398	525.278	2.29E+07	3.55022	3.69784
163	382	525.529	1.95E+07	4.16923	3.66676
164	351	525.334	1.91E+07	4.25654	3.75843
165	337	525.05	3.64E+07	2.23352	3.72808
166	321	525.013	3.31E+07	2.45619	3.70112
167	307	525.455	2.55E+07	3.18824	3.72119
168	290	524.87	2.65E+07	3.06792	3.6851
169	276	525.076	2.96E+07	2.74662	3.77665
171	261	525.58	1.71E+07	1.895329414	3.64394
172	246	525.388	1.31E+07	1.58178979	3.40037
174	200	525.782	1.58E+07	1.31E+00	3.37552
177	139	526.142	1.17E+07	6.94872	3.50648
178	123	526.124	2.23E+07	3.64574	3.53739
179	108	526.82	1.91E+07	4.25654	3.37718
180	93	527.599	1.89E+07	4.30159	3.18632
181	78	526.86	1.75E+07	4.64571	3.69209
182	63	527.545	2.60E+07	3.12692	3.27707
183	47	527.802	2.30E+07	3.53478	3.43428
184	32	527.607	2.34E+07	3.47436	3.4703
185	987	675.554	4.29E+07	1.8951	4.33374
186	973	674.749	4.16E+07	1.95433	4.19425
187	942	673.795	4.96E+07	1.63911	4.15688
188	926	673.797	3.79E+07	2.14512	4.63899
189	911	673.047	5.13E+07	1.5848	4.2586
190	897	672.482	4.56E+07	1.78289	4.17956
191	882	672.428	4.99E+07	1.62926	4.13198
192	866	671.652	3.64E+07	2.23352	4.11713
193	852	671.412	3.85E+07	2.11169	4.17386
194	836	670.166	5.13E+07	1.5848	4.31172
195	821	670.08	5.60E+07	1.45179	4.15022
196	806	669.359	5.21E+07	1.56046	4.2774
197	791	669.059	4.88E+07	1.66598	4.23223
198	775	668.32	5.39E+07	1.50835	4.26495
199	760	668.348	6.17E+07	1.31767	4.19437
200	746	667.804	6.00E+07	1.355	4.18905
201	732	668.069	5.61E+07	1.4492	4.13268
202	700	667.181	5.24E+07	1.55153	4.09978
203	685	666.911	4.77E+07	1.7044	4.23464
204	670	666.613	5.66E+07	1.4364	4.14837
205	654	666.411	5.32E+07	1.5282	4.1626
206	641	666.395	3.14E+07	2.58917	4.32122
207	594	665.902	2.64E+07	3.07955	4.17497
208	579	665.063	1.96E+07	4.14796	4.14872
209	564	664.892	1.74E+07	4.67241	4.24434
210	549	665.259	2.53E+07	3.21344	4.22798
211	534	664.887	3.74E+07	2.1738	3.75874
213	458	664.151	4.37E+07	1.86041	4.08291
214	443	664.076	4.40E+07	1.84773	4.2415
215	428	664.12	3.67E+07	2.21526	4.23973
216	413	663.989	3.74E+07	2.1738	3.9965
217	382	663.544	4.38E+07	1.85616	4.09792
218	368	663.997	3.60E+07	2.25833	4.00263
219	352	663.687	3.81E+07	2.13386	4.02224
220	337	663.698	4.31E+07	1.88631	4.12825
221	322	663.802	2.65E+07	3.06792	4.23217
222	306	663.749	3.41E+07	2.38416	4.24878
223	291	663.846	3.00E+07	2.71	4.11525
224	276	664.478	2.33E+07	3.48927	3.81185
225	246	664.33	3.17E+07	2.56467	3.97648
226	230	664.319	3.28E+07	2.47866	3.81003
227	200	664.139	3.64E+07	2.23352	3.71389
228	186	664	2.50E+07	3.252	3.67757
229	170	665.222	2.16E+07	3.76389	3.79491
230	155	664.619	2.59E+07	3.139	4.2375
231	139	665.444	2.81E+07	2.89324	3.81733
232	124	665.562	2.16E+07	3.76389	3.7353
233	108	665.466	1.77E+07	4.59322	4.02779
234	93	665.992	2.02E+07	4.02475	3.92361
235	80	666	2.32E+07	2.89	3.83857
236	63	666.06	2.06E+07	3.50431	4.11044
237	48	666.909	1.12E+07	3.9466	3.81842
239	973	814.178	6.87E+07	1.18341	4.0587
240	944	813.812	2.24E+07	3.62946	4.11034
241	926	812.267	2.46E+07	3.30488	4.43004
242	912	812.216	5.30E+07	1.53396	4.28981
