17,574.7551,812.556,0.004837388,7.769277,5.822736
19,530.5933,816.0896,0.004843112,7.843004,6.897951
20,509.0853,815.9871,0.004842066,7.370662,4.343498
22,467.502,817.5303,0.004843286,7.665596,4.902196
26,378.1118,818.4888,0.00484198,8.354249,6.467964
27,357.9734,818.2867,0.004844347,7.272367,5.423095
28,332.785,812.1201,0.004846856,7.048842,2.322311
30,289.3019,813.7989,0.00484998,8.233661,6.002172
66,917.3669,384.6925,0.00475,8.153682,2.774576
67,894.7515,382.3702,0.00475,6.697546,5.898388
69,851.6385,384.2948,0.00475,7.934372,2.657115
70,827.8482,384.4336,0.00475,7.403383,4.416948
74,744.0035,388.0351,0.00475,6.861263,1.840636
75,717.9476,388.4787,0.00475,6.768016,3.866521
77,671.5129,389.4555,0.00475,6.686833,6.946181
78,648.017,391.596,0.00475,6.300829,4.92461
79,625.3988,392.6756,0.00475,5.057023,3.970482
81,582.4264,390.2454,0.00475,6.192405,4.268228
82,560.5841,391.0999,0.00475,5.879569,5.702903
83,538.5002,392.42,0.00475,5.261237,5.51681
85,494.2617,393.9203,0.00475,6.024729,6.124941
86,473.2267,391.8726,0.00475,5.737832,3.461926
87,449.0553,393.9634,0.00475,5.392084,3.653135
88,427.7317,392.0303,0.00475,6.137437,5.198769
90,383.1703,391.7371,0.00475,6.627866,2.675819
91,360.8824,390.6006,0.00475,6.782552,3.079454
93,318.3825,390.3249,0.00475,7.064554,4.020224
94,299.3079,389.1243,0.00475,7.415573,2.870126
