85	489.6427	447.9741	0.0049	5.737449	5.955638
86	468.8268	446.5358	0.0049	5.190649	5.189357
87	443.9081	448.9208	0.0049	5.752769	3.877674
88	422.6667	445.698	0.0049	5.910969	4.103018
90	379.1984	445.4268	0.0049	5.266205	15.08725
91	357.1045	444.218	0.0049	5.721175	10.14256
93	313.968	444.2199	0.0049	6.586925	6.142089
94	294.7194	443.9949	0.0049	7.276238	6.69492
66	913.3428	438.0359	0.0049	6.070884	5.502937
67	890.7887	436.7787	0.0049	6.740098	3.965315
69	847.5708	439.4206	0.0049	7.505135	3.691621
70	824.2458	439.6401	0.0049	7.125985	4.681238
74	739.5734	443.5248	0.0049	6.835514	2.453658
75	713.4736	443.3952	0.0049	5.287528	4.053587
77	666.8139	444.0294	0.0049	5.975617	11.04451
78	643.5818	445.9714	0.0049	5.500128	6.112705
79	621.2639	448.4761	0.0049	4.70972	3.43151
81	578.0409	444.5869	0.0049	5.283916	6.470575
82	556.1336	445.3807	0.0049	5.314189	9.757269
83	534.2175	446.8963	0.0049	5.608388	8.31755
17	570.8569	868.0596	0.00487511	10.91435	11.82139
19	525.723	871.5998	0.004871943	9.056134	25.54192
20	504.5247	872.8897	0.004877444	9.120174	12.28195
22	462.6385	875.2048	0.004876866	8.076242	47.32718
26	372.964	873.4787	0.004887718	8.84263	15.97596
27	352.2223	872.2111	0.004883122	7.560067	20.61353
28	328.8584	869.229	0.004903856	11.46845	3.09789
30	284.2128	867.7451	0.004893159	8.497827	12.33434
