number,operator,date,shot,TFoffset,d-tacq,TFdtacq,a039,a039_TF,comment,CB1[kV],Start [us],Crowbar [us],CB2[kV],delay[us],Crowbar [us],FC TF [kV],TF[kV],delay[us],FCTF[kV],delay[us],Crowbar[us],EF[A],Electrode [kV],delay   [us],OH,gas,gas pressure,delay[s],予備電離,Solenoid,delay,fast camera ,width,ショットの種類,Magnetic Probe comments,Max(PSI),Max(PSI),Gun[kV],Gun_delay[us],,DopplerDelay,Dopplerwidth[μs],SXR exposure,SXR interval,Gain of Framing,Gain of CMOS,Period (Start time)
1,青山,191218,1,0,,,,,,0,0,0,0,0,0,,2,0,,,,0,,,,H,0,0,0,0,0,0,0,TEST,,0,0,0,0,0,0,0,0,0,0,0,0
2,青山,191218,2,,,,,,磁気面用,,,,,,,,2,,,,,,,,,,,,,,,,,REF,,,,,,,,,,,,,
3,青山,191218,3,,,,,,プラズマ,30,,,30,,,,2,,,,,,,,,H,,,,,,,,TEST,,,,,,,,,,,,,
4,青山,191218,4,,,,,,,30,,,30,,,,2,,,,,,,,,,,,,,,,,PLASMA,,,,,,,,,,,,,
5,青山,191218,5,,,,,,,30,,,30,,,,2,,,,,150,,,,H,,,,,,,,REF,,,,,,,,,,,,,
6,青山,191218,6,,,,,,プラズマ無し,30,,,30,,,,2,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,
7,青山,191218,7,,,,,,プラズマあり,30,,,30,,,,2,,,,,150,,,,H,,,,,,,,,,,,,,,,,,,,,
8,青山,191218,8,,,,,,プラズマあり(失敗),30,,,30,,,,2,,,,,150,,,,H,904,,,,,,,,,,,,,,,,,,,,
9,青山,191218,9,,,,,,失敗,30,,,30,,,,2,,,,,150,,,,H,,,,,,,,,,,,,,,,,,,,,
10,青山,191218,10,,,,,,コイルの放電タイミングがずれる,30,,,30,,,,2,,,,,150,,,,H,888,,,,,,,,,,,,,,,,,,,,
11,青山,191218,11,,,,,,とれてそう(片方放電かも),30,,,30,,,,2,,,,,150,,,,H,920,,,,,,,,,,,,,,,,,,,,
12,青山,191218,12,,,,,,とれてそう,30,,,30,,,,2,,,,,150,,,,H,920,,,,,,,,,,,,,,,,,,,,
13,青山,191218,13,,,,,,プラズマ無し,32,,,32,,,,2,,,,,150,,,,H,,,,,,,,,,,,,,,,,,,,,
14,青山,191218,14,,,,,,プラズマあり,32,,,32,,,,2,,,,,150,,,,H,848,,,,,,,,,,,,,,,,,,,,
15,青山,191218,15,,,,,,プラズマあり,32,,,32,,,,2,,,,,150,,,,H,848,,,,,,,,,,,,,,,,,,,,
16,青山,191218,16,,,,,,プラズマあり,32,,,32,,,,2,,,,,150,,,,H,896,,,,,,,,,,,,,,,,,,,,
17,青山,191218,17,,,,,,プラズマ無し,35,,,35,,,,2,,,,,150,,,,H,,,,,,,,,,,,,,,,,,,,,
18,青山,191218,18,,,,,,プラズマあり,35,,,35,,,,2,,,,,150,,,,H,880,,,,,,,,,,,,,,,,,,,,
19,青山,191218,19,,,,,,プラズマあり,35,,,35,,,,2,,,,,150,,,,H,880,,,,,,,,,,,,,,,,,,,,
20,青山,191218,20,,,,,,プラズマあり,35,,,35,,,,2,,,,,150,,,,H,880,,,,,,,,,,,,,,,,,,,,
21,青山,191218,21,,,,,,プラズマ無し　CB2でない,37,,,37,,,,2,,,,,150,,,,H,,,,,,,,,,,,,,,,,,,,,
22,青山,191218,22,,,,,,プラズマ無し　CB2でない,37,,,37,,,,2,,,,,150,,,,H,,,,,,,,,,,,,,,,,,,,,
23,青山,191218,23,,,,,,プラズマ無し　ok,37,,,37,,,,2,,,,,150,,,,H,,,,,,,,,,,,,,,,,,,,,
24,青山,191218,24,,,,,,プラズマあり,37,,,37,,,,2,,,,,150,,,,H,840,,,,,,,,,,,,,,,,,,,,
25,青山,191218,25,,,,,,プラズマあり,37,,,37,,,,2,,,,,150,,,,H,888,,,,,,,,,,,,,,,,,,,,
26,青山,191218,26,,,,,,プラズマあり,37,,,37,,,,2,,,,,150,,,,H,904,,,,,,,,,,,,,,,,,,,,
27,青山,191218,27,,,,,,プラズマ無し,39,,,39,,,,2,,,,,150,,,,H,,,,,,,,,,,,,,,,,,,,,
28,青山,191218,28,,,,,,プラズマあり,39,,,39,,,,2,,,,,150,,,,H,840,,,,,,,,,,,,,,,,,,,,
29,青山,191218,29,,,,,,プラズマあり  ダメ片方しかついてない,39,,,39,,,,2,,,,,150,,,,H,,,,,,,,,,,,,,,,,,,,,
30,青山,191218,30,,,,,,プラズマあり　ダメ片方しかついてない,39,,,39,,,,2,,,,,150,,,,H,,,,,,,,,,,,,,,,,,,,,
31,青山,191218,31,,,,,,,39,,,39,,,,2,,,,,150,,,,H,,,,,,,,,,,,,,,,,,,,,
32,青山,191218,32,,,,,,プラズマあり,39,,,39,,,,2,,,,,150,,,,H,760,,,,,,,,,,,,,,,,,,,,
33,青山,191218,33,,,,,,プラズマあり　データ取りミス,39,,,39,,,,2,,,,,150,,,,H,848,,,,,,,,,,,,,,,,,,,,
34,青山,191218,34,,,,,,プラズマあり,39,,,39,,,,2,,,,,150,,,,H,776,,,,,,,,,,,,,,,,,,,,
35,青山,191218,35,,,,,,プラズマあり,39,,,39,,,,2,,,,,150,,,,H,776,,,,,,,,,,,,,,,,,,,,
36,青山,191218,36,,,,,,プラズマあり,39,,,39,,,,2,,,,,150,,,,H,776,,,,,,,,,,,,,,,,,,,,
37,青山,191218,37,,,,,,プラズマ無し,39,,,39,,,,3.4,,,,,150,,,,H,,,,,,,,,,,,,,,,,,,,,
38,青山,191218,38,,,,,,プラズマあり,39,,,39,,,,3.4,,,,,150,,,,H,744,,,,,,,,,,,,,,,,,,,,
39,青山,191218,39,,,,,,プラズマあり(プラズマ),39,,,39,,,,3.4,,,,,150,,,,H,752,,,,,,,,,,,,,,,,,,,,
40,青山,191218,40,,,,,,プラズマあり使える,39,,,39,,,,3.4,,,,,150,,,,H,764,,,,,,,,,,,,,,,,,,,,
41,青山,191218,41,,,,,,磁気面用,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,青山,191218,42,,,,,,,39,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,青山,191218,43,,,,,,プラズマあり,39,,,39,,,,3.4,,,,,150,,,,H,,,,,,,,,,,,,,,,,,,,,
44,青山,191218,44,,,,,,プラズマなし,36,,,36,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,青山,191218,45,,,,,,プラズマあり よさげ,36,,,36,,,,2.5,,,,,150,,,,H,712,,,,,,,,,,,,,,,,,,,,
46,青山,191218,46,,,,,,プラズマあり,36,,,36,,,,2.5,,,,,150,,,,H,832,,,,,,,,,,,,,,,,,,,,
47,青山,191218,47,,,,,,プラズマありよさげ,36,,,36,,,,2.5,,,,,150,,,,H,750,,,,,,,,,,,,,,,,,,,,
48,青山,191218,48,,,,,,プラズマなし,32,,,32,,,,1.5,,,,,150,,,,H,,,,,,,,,,,,,,,,,,,,,
49,青山,191218,49,,,,,,プラズマあり,32,,,32,,,,1.5,,,,,150,,,,H,600,,,,,,,,,,,,,,,,,,,,
50,青山,191218,50,,,,,,プラズマありよさげ,32,,,32,,,,1.5,,,,,150,,,,H,600,,,,,,,,,,,,,,,,,,,,
51,青山,191218,51,,,,,,プラズマあり,32,,,32,,,,1.5,,,,,150,,,,H,600,,,,,,,,,,,,,,,,,,,,
52,青山,191218,52,,,,,,磁気面用,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,青山,191218,53,,,,,,磁気面用,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,青山,191218,54,,,,,,磁気面用,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,秋光,191222,1,,2360,,,,,9.00,,,,,,,,,,,,,,,,,,,,,,,,TEST,,,,,,,,,,,,,
56,秋光,191222,2,,2361,,,,,,,,9.00,,,,,,,,,,,,,,,,,,,,,TEST,,,,,,,,,,,,,
57,秋光,191222,3,,2362,,,,,19.00,,,,,,,,,,,,,,,,,,,,,,,,TEST,,,,,,,,,,,,,
58,秋光,191222,4,,2363,,,,,,,,19.00,,,,,,,,,,,,,,,,,,,,,TEST,,,,,,,,,,,,,
59,秋光,191222,5,,2364,,,,,29.00,,,,,,,,,,,,,,,,,,,,,,,,TEST,,,,,,,,,,,,,
60,秋光,191222,6,,2365,,,,,,,,29.00,,,,,,,,,,,,,,,,,,,,,TEST,,,,,,,,,,,,,
61,秋光,191222,7,,2366,,,,,39.00,,,,,,,,,,,,,,,,,,,,,,,,TEST,,,,,,,,,,,,,
62,秋光,191222,8,,2367,,,,,,,,39.00,,,,,,,,,,,,,,,,,,,,,TEST,,,,,,,,,,,,,
63,秋光,191222,9,,2368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEST,,,,,,,,,,,,,
64,秋光,191223,1,,2369,,,,bt,,,,,,,,1.00,,,,,,,,,,,,,,,,,TEST,,,,,,,,,,,,,
65,秋光,191223,2,,2370,,,,bt,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,秋光,191223,3,,2371,,,,bt,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,秋光,191223,4,,2372,,,,bt,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,秋光,191223,5,,2373,,,,bT,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,秋光,191223,6,,2374,,,,BT,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,秋光,191223,7,,2375,,,,BT,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,秋光,191223,8,,2376,,,,Bz,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,秋光,191223,9,,2377,,,,bz,,,,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,秋光,191223,10,,2378,,,,bz,39.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,秋光,191223,11,,2379,,,,bz,,,,39.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,秋光,191223,12,,2380,,,,bz,,,,,,,,3.00,,,,,,,,,,,,,,,,,REF,,,,,,,,,,,,,
76,秋光,191223,13,,2381,,,,Ip rgwなし,39.00,,,39.00,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,秋光,191223,14,,2382,,,,もう一回,39.00,,,39.00,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,秋光,191223,15,,2383,,,,,39.00,,,39.00,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,秋光,191223,16,,2384,,,,掃除,,,,,,,,,,,,,,,,,H,,,,,,,,TEST,,,,,,,,,,,,,
80,秋光,191223,17,,,,,,掃除,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
81,秋光,191223,18,,,,,,途中で放電,39.00,,,39.00,,,,3.00,,,,,,,,,,,,,,,,,TROUBLE,,,,,,,,,,,,,
82,秋光,191223,19,,2385,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,REF,,,,,,,,,,,,,
83,秋光,191223,20,,2387,,,,,39.00,,,39.00,,,,0.00,,,,,,,,,,,,,,,,,REF,,,,,,,,,,,,,
84,秋光,191223,21,,2388,,,,,39.00,,,39.00,,,,3.00,,,,,,,,,H,,,,,,,,PLASMA,,,,,,,,,,,,,
85,秋光,191223,22,,2389,,,,静電あり,39.00,,,39.00,,,,3.00,,,,,,,,,,7.00,,,,,,,PLASMA,,,,,,,,,,,,,
86,秋光,191223,23,,2390,,,,静電なし,39.00,,,39.00,,,,3.00,,,,,,,,,,7.00,,,,,,,PLASMA,,,,,,,,,,,,,
87,秋光,191223,24,,2391,,,,静電なし,39.00,,,39.00,,,,3.00,,,,,,,,,,7.00,,,,,,,PLASMA,,,,,,,,,,,,,
88,秋光,191223,25,,2392,,,,静電あり、470,39.00,,,39.00,,,,3.00,,,,,,,,,,7.00,,,,,470,,,,,,,,,,,,,,,
89,秋光,191223,26,,2393,,,,静電あり、470,39.00,,,39.00,,,,3.00,,,,,,,,,,,,,,,470,,,,,,,,,,,,,,,
90,秋光,191223,27,,2394,,,,静電あり,39.00,,,39.00,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,秋光,191223,28,,2395,,,,静電あり、472,39.00,,,39.00,,,,3.00,,,,,,,,,,,,,,,472,,,,,,,,,,,,,,,
92,秋光,191223,29,,2396,,,,静電あり、472 656,39.00,,,39.00,,,,3.00,,,,,,,,,,,,,,,472,,,,,,,,,,,,,,,
93,秋光,191223,30,,2397,,,,静電あり、470 656,39.00,,,39.00,,,,3.00,,,,,,,,,,,,,,,470,,,,,,,,,,,,,,,
94,秋光,191223,31,,2398,,,,静電あり、468 656,39.00,,,39.00,,,,3.00,,,,,,,,,,,,,,,468,,,,,,,,,,,,,,,
95,秋光,191223,32,,2399,,,,,39.00,,,39.00,,,,3.00,,,,,,,,,,8.60,,,,,,,,,,,,,,,,,,,,
96,秋光,191223,33,,2400,,,,468,39.00,,,39.00,,,,3.00,,,,,,,,,,1.12,,,,,,,,,,,,,,,,,,,,
97,秋光,191223,34,,2401,,,,470,39.00,,,39.00,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,秋光,191223,35,,2402,,,,472,39.00,,,39.00,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,秋光,191223,36,,2403,,,,472,39.00,,,39.00,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,秋光,191223,37,,2404,,,,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,秋光,191223,38,,2405,,,,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,200101,1,,,,,,doppler-delay:tanaka,,,,,,,,3.40,,,,,150.00,,,,H,,,on,,,,,REF,,,,,,,,,,,,,
103,,200101,2,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,,,on,,,,,TROUBLE,,,,,,,,,,,,,
104,,200101,3,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,,,on,,,,,TROUBLE,,,,,,,,,,,,,
105,,200101,4,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,,,on,,,,,TROUBLE,,,,,,,,,,,,,
106,,200101,5,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,,,on,,,,,TROUBLE,,,,,,,,,,,,,
107,,200101,6,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,,,on,,,,,TROUBLE,,,,,,,,,,,,,
108,,200101,7,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,8.80,,on,,,468,,PLASMA,,,,,,,,,,,,,
109,,200101,8,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,8.80,,on,,,465,,,,,,,,,,,,,,,
110,,200101,9,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,8.80,,on,,,471,,,,,,,,,,,,,,,
111,,200101,10,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,8.80,,on,,,474,,,,,,,,,,,,,,,
112,,200101,11,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,8.80,,on,,,477,,,,,,,,,,,,,,,
113,,200101,12,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,8.80,,on,,,480,,,,,,,,,,,,,,,
114,,200101,13,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,8.40,,on,,,465,,,,,,,,,,,,,,,
115,,200101,14,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,8.40,,on,,,465,,,,,,,,,,,,,,,
116,,200101,15,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,8.40,,on,,,465,,,,,,,,,,,,,,,
117,,200101,16,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,8.40,,on,,,465,,,,,,,,,,,,,,,
118,,200101,17,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,8.40,,on,,,468,,,,,,,,,,,,,,,
119,,200101,18,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,8.40,,on,,,471,,,,,,,,,,,,,,,
120,,200101,19,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,8.40,,on,,,474,,,,,,,,,,,,,,,
121,,200101,20,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,8.40,,on,,,477,,,,,,,,,,,,,,,
122,,200101,21,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,8.40,,on,,,480,,,,,,,,,,,,,,,
123,,200101,22,,,,,,,,,,,,,,3.40,,,,,150.00,,,,,,,on,,,,,REF,,,,,,,,,,,,,
124,,200101,23,,,,,,,35.00,,,35.00,,,,2.70,,,,,150.00,,,,,8.08,,on,,,465,,PLASMA,,,,,,,,,,,,,
125,,200101,24,,,,,,,35.00,,,35.00,,,,3.00,,,,,150.00,,,,,8.08,,on,,,465,,,,,,,,,,,,,,,
126,,200101,25,,,,,,,35.00,,,35.00,,,,3.00,,,,,150.00,,,,,8.08,,on,,,468,,,,,,,,,,,,,,,
127,,200101,26,,,,,,,35.00,,,35.00,,,,3.00,,,,,150.00,,,,,8.08,,on,,,468,,,,,,,,,,,,,,,
128,,200101,27,,,,,,,35.00,,,35.00,,,,3.00,,,,,150.00,,,,,8.08,,on,,,471,,,,,,,,,,,,,,,
129,,200101,28,,,,,,,35.00,,,35.00,,,,3.00,,,,,150.00,,,,,8.08,,on,,,471,,,,,,,,,,,,,,,
130,,200101,29,,,,,,,35.00,,,35.00,,,,3.00,,,,,150.00,,,,,8.08,,on,,,474,,,,,,,,,,,,,,,
131,,200101,30,,,,,,,35.00,,,35.00,,,,3.00,,,,,150.00,,,,,8.08,,on,,,474,,,,,,,,,,,,,,,
132,,200101,31,,,,,,,35.00,,,35.00,,,,3.00,,,,,150.00,,,,,8.64,,on,,,477,,,,,,,,,,,,,,,
133,,200101,32,,,,,,,35.00,,,35.00,,,,3.00,,,,,150.00,,,,,8.64,,on,,,477,,,,,,,,,,,,,,,
134,,200101,33,,,,,,,35.00,,,35.00,,,,3.00,,,,,150.00,,,,,8.40,,on,,,480,,,,,,,,,,,,,,,
135,,200101,34,,,,,,,35.00,,,35.00,,,,3.00,,,,,150.00,,,,,8.40,,on,,,480,,,,,,,,,,,,,,,
136,,200101,35,,,,,,,,,,,,,,3.00,,,,,150.00,,,,,,,on,,,,,REF,,,,,,,,,,,,,
137,,200101,36,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,8.40,,on,,,465,,PLASMA,,,,,,,,,,,,,
138,,200101,37,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,8.40,,on,,,465,,,,,,,,,,,,,,,
139,,200101,38,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,8.16,,on,,,468,,,,,,,,,,,,,,,
140,,200101,39,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,8.16,,on,,,468,,,,,,,,,,,,,,,
141,,200101,40,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,8.16,,on,,,471,,,,,,,,,,,,,,,
142,,200101,41,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,8.16,,on,,,471,,,,,,,,,,,,,,,
143,,200101,42,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,8.16,,on,,,471,,,,,,,,,,,,,,,
144,,200101,43,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,8.16,,on,,,474,,,,,,,,,,,,,,,
145,,200101,44,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,8.16,,on,,,474,,,,,,,,,,,,,,,
146,,200101,45,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,8.16,,on,,,477,,,,,,,,,,,,,,,
147,,200101,46,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,8.16,,on,,,477,,,,,,,,,,,,,,,
148,,200101,47,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,7.92,,on,,,480,,,,,,,,,,,,,,,
149,,200101,48,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,7.92,,on,,,480,,,,,,,,,,,,,,,
150,,200101,49,,,,,,,,,,,,,,2.50,,,,,150.00,,,,,,,on,,,,,REF,,,,,,,,,,,,,
151,,200101,50,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,Ar,,,on,,,,,TROUBLE,,,,,,,,,,,,,
152,,200101,51,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,,,on,,,,,TROUBLE,,,,,,,,,,,,,
153,,200101,52,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,1.06,,on,,,468,,,,,,,,,,,,,,,
154,,200101,53,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,1.06,,on,,,471,,,,,,,,,,,,,,,
155,,200101,54,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,1.06,,on,,,468,,,,,,,,,,,,,,,
156,,200101,55,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,1.06,,on,,,471,,,,,,,,,,,,,,,
157,,200101,56,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,1.06,,on,,,474,,,,,,,,,,,,,,,
158,,200101,57,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,1.06,,on,,,474,,,,,,,,,,,,,,,
159,,200101,58,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,1.06,,on,,,477,,,,,,,,,,,,,,,
160,,200101,59,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,1.06,,on,,,477,,,,,,,,,,,,,,,
161,,200101,60,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,1.06,,on,,,480,,,,,,,,,,,,,,,
162,,200101,61,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,1.06,,on,,,480,,,,,,,,,,,,,,,
163,,200101,62,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,1.06,,on,,,483,,,,,,,,,,,,,,,
164,,200101,63,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,1.06,,on,,,483,,TROUBLE,,,,,,,,,,,,,
165,,200101,64,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,1.06,,on,,,483,,,,,,,,,,,,,,,
166,,200101,65,,,,,,,35.00,,,35.00,,,,2.50,,,,,150.00,,,,,,,on,,,483,,,,,,,,,,,,,,,
167,,200101,66,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,1.00,,on,,,485,,,,,,,,,,,,,,,
168,,200101,67,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,1.00,,on,,,468,,,,,,,,,,,,,,,
169,,200101,68,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,1.00,,on,,,468,,,,,,,,,,,,,,,
170,,200101,69,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,1.00,,on,,,471,,,,,,,,,,,,,,,
171,,200101,70,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,1.00,,on,,,471,,,,,,,,,,,,,,,
172,,200101,71,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,1.00,,on,,,474,,,,,,,,,,,,,,,
173,,200101,72,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,1.00,,on,,,474,,,,,,,,,,,,,,,
174,,200101,73,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,1.00,,on,,,474,,,,,,,,,,,,,,,
175,,200101,74,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,1.00,,on,,,477,,,,,,,,,,,,,,,
176,,200101,75,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,1.00,,on,,,477,,,,,,,,,,,,,,,
177,,200101,76,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,1.00,,on,,,480,,,,,,,,,,,,,,,
178,,200101,77,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,1.00,,on,,,480,,,,,,,,,,,,,,,
179,,200101,78,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,1.00,,on,,,483,,,,,,,,,,,,,,,
180,,200101,79,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,1.00,,on,,,483,,,,,,,,,,,,,,,
181,,200101,80,,,,,,,35.00,,,35.00,,,,3.40,,,,,150.00,,,,,1.00,,on,,,485,,,,,,,,,,,,,,,
182,曹、秋光,200121,100,,,,,,,39,,,39,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,曹、秋光,200121,101,,,,,,,0,,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,曹、秋光,200121,102,,,,,,,0,,,0,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,曹、秋光,200121,103,,,,,,,0,,,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,曹、秋光,200121,104,,,,,,,0,,,0,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,曹、秋光,200121,105,,,,,,,39,,,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,曹、秋光,200121,106,,,,,,,0,,,39,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,曹、秋光,200121,107,,,,,,,39,,,39,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,曹、秋光,200121,108,,,,,,,39,,,39,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,曹、秋光,200121,109,,,,,,,39,,,39,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,曹、秋光,200121,110,,,,,,,39,,,39,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,曹、秋光,200121,111,,,,,,,39,,,39,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,曹、秋光,200121,112,,,,,,,39,,,39,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,曹、秋光,200121,113,,,,,,no data,39,,,39,,,,2,,,,,150,,,,,592,350,,,,,,,,,,,,,,,,,,,
196,曹、秋光,200121,114,,,,,,gas closed,39,,,39,,,,2,,,,,150,,,,,640,400,,,,,,,,,,,,,,,,,,,
197,曹、秋光,200121,115,,,,,,gas closed,39,,,39,,,,2,,,,,150,,,,,568,400,,,,,,,,,,,,,,,,,,,
198,曹、秋光,200121,116,,,,,,open,39,,,39,,,,2,,,,,150,,,,,872,80,,,,460,5,,,,,,,,,,,,,,
199,曹、秋光,200121,117,,,,,,,39,,,39,,,,2,,,,,150,,,,,864,80,,,,,,,,,,,,,,,,,,,
200,曹、秋光,200121,118,,,,,,,39,,,39,,,,2,,,,,150,,,,,864,80,,,,,,,,,,,,,,,,,,,
201,曹、秋光,200121,119,,,,,,,39,,,39,,,,2,,,,,150,,,,,840,80,,,,465,5,,,,,,,,,,,,,,
202,曹、秋光,200121,120,,,,,,,0,,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,曹、秋光,200121,121,,,,,,,39,,,39,,,,2,,,,,150,,,,,840,83,,,,470,5,,,,,,,,,,,,,,
