ModelName,WJ324,,
FileVersion,1,,
Acquisition Time,2023/1/3 16:43,,
Time/div(second),1.00E-04,,
Delay(second),0.00E+00,,
Delta(second),1.00E-07,,
Acquisition Mode,Normal,,
Trigger Address,5000,,
CH1 Display,On,,
CH2 Display,On,,
CH3 Display,On,,
CH4 Display,Off,,
CH1 Volt/div,1.00E+00,,
CH2 Volt/div,1.00E-01,,
CH3 Volt/div,2.00E-03,,
CH4 Volt/div,1.00E-01,,
CH1 Offset,0.00E+00,,
CH2 Offset,0.00E+00,,
CH3 Offset,-4.00E-05,,
CH4 Offset,-1.52E-01,,
CH1 Coupling,DC1M,,
CH2 Coupling,DC1M,,
CH3 Coupling,DC1M,,
CH4 Coupling,DC1M,,
CH1 Bandwidth,Full,,
CH2 Bandwidth,Full,,
CH3 Bandwidth,Full,,
CH4 Bandwidth,Full,,
1.96E+00,-5.00E-02,7.90E-04,
1.96E+00,-4.68E-02,1.04E-03,
1.96E+00,-4.68E-02,7.90E-04,
2.00E+00,-4.68E-02,8.52E-04,
2.03E+00,-4.68E-02,6.02E-04,
2.03E+00,-4.37E-02,8.52E-04,
2.03E+00,-4.68E-02,6.65E-04,
2.03E+00,-4.37E-02,6.02E-04,
2.03E+00,-4.37E-02,7.90E-04,
2.03E+00,-4.06E-02,6.65E-04,
2.06E+00,-4.06E-02,6.02E-04,
2.06E+00,-4.06E-02,9.15E-04,
2.06E+00,-4.06E-02,6.02E-04,
2.09E+00,-3.75E-02,6.65E-04,
2.09E+00,-3.75E-02,6.65E-04,
2.09E+00,-3.43E-02,6.02E-04,
2.12E+00,-3.43E-02,6.65E-04,
2.12E+00,-3.43E-02,1.10E-03,
2.12E+00,-3.75E-02,8.52E-04,
2.12E+00,-3.12E-02,1.10E-03,
2.12E+00,-3.12E-02,8.52E-04,
2.15E+00,-3.12E-02,1.41E-03,
2.15E+00,-3.12E-02,6.02E-04,
2.15E+00,-2.81E-02,7.90E-04,
2.15E+00,-3.12E-02,9.15E-04,
2.18E+00,-2.81E-02,9.15E-04,
2.18E+00,-2.81E-02,7.90E-04,
2.18E+00,-2.81E-02,7.27E-04,
2.18E+00,-2.81E-02,6.02E-04,
2.21E+00,-2.50E-02,1.10E-03,
2.21E+00,-2.50E-02,5.40E-04,
2.21E+00,-2.50E-02,9.15E-04,
2.21E+00,-2.18E-02,4.77E-04,
2.25E+00,-2.18E-02,8.52E-04,
2.21E+00,-1.87E-02,7.27E-04,
2.21E+00,-1.87E-02,6.65E-04,
2.25E+00,-1.87E-02,9.77E-04,
2.25E+00,-1.87E-02,9.77E-04,
2.25E+00,-1.87E-02,5.40E-04,
2.28E+00,-1.56E-02,5.40E-04,
2.28E+00,-1.56E-02,7.90E-04,
2.28E+00,-1.56E-02,9.77E-04,
2.28E+00,-1.25E-02,9.15E-04,
2.28E+00,-9.37E-03,6.65E-04,
2.28E+00,-1.56E-02,9.15E-04,
2.31E+00,-1.25E-02,9.15E-04,
2.31E+00,-9.37E-03,8.52E-04,
2.31E+00,-9.37E-03,1.04E-03,
2.31E+00,-9.37E-03,6.65E-04,
2.31E+00,-6.25E-03,8.52E-04,
2.34E+00,-9.37E-03,6.02E-04,
2.34E+00,-6.25E-03,7.90E-04,
2.34E+00,-6.25E-03,7.90E-04,
2.34E+00,-3.12E-03,7.90E-04,
2.34E+00,-3.12E-03,1.35E-03,
2.34E+00,-3.12E-03,7.27E-04,
2.34E+00,-3.12E-03,6.65E-04,
2.37E+00,0.00E+00,9.77E-04,
2.37E+00,0.00E+00,7.90E-04,
2.37E+00,3.12E-03,1.16E-03,
2.37E+00,3.12E-03,9.77E-04,
2.37E+00,3.12E-03,8.52E-04,
2.37E+00,3.12E-03,1.22E-03,
2.37E+00,6.25E-03,8.52E-04,
2.37E+00,3.12E-03,3.52E-04,
2.40E+00,9.37E-03,1.35E-03,
2.37E+00,9.37E-03,7.27E-04,
2.40E+00,9.37E-03,3.52E-04,
2.37E+00,9.37E-03,1.66E-03,
2.40E+00,9.37E-03,1.54E-03,
2.40E+00,9.37E-03,6.02E-04,
2.37E+00,1.25E-02,2.90E-04,
2.40E+00,1.25E-02,3.52E-04,
2.40E+00,1.56E-02,1.60E-03,
2.40E+00,1.25E-02,6.02E-04,
2.40E+00,1.56E-02,3.52E-04,
2.40E+00,1.87E-02,1.54E-03,
2.40E+00,1.87E-02,6.65E-04,
2.40E+00,1.56E-02,-2.25E-05,
2.40E+00,1.87E-02,1.29E-03,
2.43E+00,1.87E-02,7.27E-04,
2.40E+00,1.87E-02,9.77E-04,
2.40E+00,2.18E-02,1.22E-03,
2.40E+00,1.56E-02,9.77E-04,
2.43E+00,2.18E-02,7.27E-04,
2.43E+00,2.18E-02,1.41E-03,
2.40E+00,2.18E-02,7.90E-04,
2.43E+00,2.18E-02,6.02E-04,
2.43E+00,2.18E-02,1.41E-03,
2.43E+00,2.81E-02,7.27E-04,
2.43E+00,2.50E-02,7.90E-04,
2.43E+00,3.12E-02,1.41E-03,
2.43E+00,3.12E-02,1.22E-03,
2.43E+00,3.43E-02,7.90E-04,
2.43E+00,3.12E-02,7.90E-04,
2.43E+00,3.43E-02,1.04E-03,
2.43E+00,3.43E-02,3.52E-04,
2.43E+00,3.43E-02,6.02E-04,
2.46E+00,3.43E-02,9.77E-04,
2.43E+00,3.43E-02,7.27E-04,
2.43E+00,3.43E-02,4.77E-04,
2.43E+00,3.43E-02,1.16E-03,
2.43E+00,3.75E-02,5.40E-04,
2.43E+00,3.75E-02,1.04E-03,
2.46E+00,3.75E-02,1.22E-03,
2.43E+00,4.06E-02,6.65E-04,
2.43E+00,4.06E-02,9.15E-04,
2.43E+00,4.06E-02,1.29E-03,
2.43E+00,4.06E-02,6.65E-04,
2.43E+00,4.68E-02,1.10E-03,
2.43E+00,4.68E-02,1.04E-03,
2.40E+00,4.68E-02,1.04E-03,
2.46E+00,4.68E-02,7.90E-04,
2.43E+00,4.68E-02,9.77E-04,
2.43E+00,4.68E-02,9.15E-04,
2.43E+00,5.00E-02,8.52E-04,
2.43E+00,5.00E-02,6.02E-04,
2.43E+00,5.00E-02,7.27E-04,
2.43E+00,5.00E-02,7.90E-04,
2.43E+00,5.00E-02,1.04E-03,
2.43E+00,5.31E-02,7.90E-04,
2.43E+00,5.31E-02,6.65E-04,
2.43E+00,5.62E-02,1.10E-03,
2.40E+00,5.93E-02,6.65E-04,
2.43E+00,5.62E-02,8.52E-04,
2.43E+00,5.62E-02,9.15E-04,
2.40E+00,5.93E-02,6.02E-04,
2.43E+00,5.93E-02,9.15E-04,
2.40E+00,5.62E-02,9.15E-04,
2.40E+00,5.93E-02,8.52E-04,
2.43E+00,5.93E-02,6.02E-04,
2.40E+00,6.25E-02,7.90E-04,
2.40E+00,5.93E-02,8.52E-04,
2.40E+00,6.25E-02,9.77E-04,
2.40E+00,6.25E-02,7.27E-04,
2.40E+00,6.25E-02,7.27E-04,
2.40E+00,6.25E-02,6.65E-04,
2.40E+00,6.56E-02,8.52E-04,
2.40E+00,6.56E-02,9.15E-04,
2.37E+00,6.87E-02,4.77E-04,
2.40E+00,6.56E-02,8.52E-04,
2.40E+00,6.87E-02,7.90E-04,
2.40E+00,6.87E-02,7.90E-04,
2.37E+00,7.18E-02,9.15E-04,
2.37E+00,7.18E-02,1.04E-03,
2.37E+00,7.18E-02,1.10E-03,
2.37E+00,7.50E-02,7.27E-04,
2.37E+00,7.50E-02,6.65E-04,
2.37E+00,7.50E-02,8.52E-04,
2.37E+00,7.50E-02,9.15E-04,
2.37E+00,7.50E-02,1.04E-03,
2.34E+00,7.81E-02,6.65E-04,
2.34E+00,7.81E-02,6.65E-04,
2.34E+00,7.81E-02,7.27E-04,
2.34E+00,7.81E-02,4.15E-04,
2.34E+00,7.81E-02,7.27E-04,
2.34E+00,8.12E-02,4.77E-04,
2.31E+00,8.12E-02,6.02E-04,
2.31E+00,8.12E-02,7.27E-04,
2.34E+00,8.43E-02,4.77E-04,
2.31E+00,8.43E-02,1.04E-03,
2.31E+00,8.43E-02,8.52E-04,
2.31E+00,8.43E-02,7.90E-04,
2.31E+00,8.43E-02,5.40E-04,
2.31E+00,8.75E-02,7.90E-04,
2.31E+00,8.75E-02,8.52E-04,
2.25E+00,8.75E-02,7.90E-04,
2.28E+00,9.06E-02,6.65E-04,
2.28E+00,9.06E-02,1.04E-03,
2.25E+00,9.06E-02,8.52E-04,
2.28E+00,9.06E-02,8.52E-04,
2.25E+00,9.06E-02,8.52E-04,
